node1,node2
Obong Stream,Im Stream
Im Stream,Gyeongho River 1
Im Stream,Hamyangwi Stream 2
Hamyangwi Stream 2,Hamyangwi Stream 1
Hamyangwi Stream 2,Namgang Stream
Gyeongho River 1,Gyeongho River 2
Gyeongho River 1,Yang Stream 2
Gyeongho River 1,Yang Stream 2
Yang Stream 2,Migok Stream
Migok Stream,Yang Stream 1
Yang Stream 1,Yang Stream 2
Sindeung Stream,Yang Stream 2
Deokcheon River 1,Deokcheon River 2
Gyeongho River 2,Deokcheon River 1
Deokcheon River 2,Deokcheon River 3
Deokcheon River 3,Deokcheon River 1
Naeseong Stream 5,Naeseong Stream 4
Naeseong Stream 4,Han Stream
Han Stream,Naeseong Stream 5
Han Stream,Naeseong Stream 3
Naeseong Stream 4,Naeseong Stream 3
Naeseong Stream 3,Seokgwan Stream
Naeseong Stream 3,Naeseong Stream 2
Naeseong Stream 3,Okgye Stream
Naeseong Stream 2,Yeongjuseo Stream 2
Naeseong Stream 2,Naeseong Stream 1
Naeseong Stream 1,Toil Stream
Yeongjuseo Stream 2,Yeongjuseo Stream 1
Daejong Stream,Naeng Stream
Milyang River 4,Milyang River 3
Milyang River 3,Milyang River 2
Milyang River 2,Milyang River 1
Milyang River 1,Cheongdo Stream
Milyang River 1,Gojeong Stream
Gojeong Stream,Cheongdo Stream
Gojeong Stream,Dongchang Stream 2
Dongchang Stream 2,Buil Stream
Dongchang Stream 1,Dongchang Stream 2
Buil Stream,Dongchang Stream 1
Dongchang Stream 1,Soho Stream
Danjang Stream 1,Danjang Stream 2
Danjang Stream 2,Danjang Stream 3
Suyeong River 3,HoedongdaemSangryu
Hwangji 3,Cheolam Stream
Cheolam Stream,Hwangji 1
Hwangji 1,Hwangji 2
Hwangji 2,Seokpo 1
Seokpo 1,Seokpo 2
Seokpo 2,Seokpo 4
Seokpo 2,Golpo Stream
Seokpo 4,Golpo Stream
Seokpo 2,Seokpo 3
Seokpo 3,Seokpo 4
Golpo Stream,Hoeryong Stream
Hoeryong Stream,Bonghwa
Bonghwa,Dosan
Dosan,Andong 1
Seokpo 3,Bonghwa
Anmang Stream,Mi Stream
Mi Stream,Songya Stream
Songya Stream,Andong 2
Andong 2,Mi Stream
Mi Stream,Andong 3
Andong 3,Pungsan Stream
Andong 3,Andong 4
Andong 4,Pungsan Stream
Andong 4,Gwangsan Stream 2
Gwangsan Stream 2,Gwangsan Stream 1
Gwangsan Stream 2,Andong 5
Andong 5,Yecheon 1
Yecheon 1,Yecheon 2
Yeong River 3,Yeong River 2
Yeong River 2,Yeong River 1
Yeong River 1,Ian Stream
Wi Stream 1,Gunwinam Stream
Gunwinam Stream,Wi Stream 2
Wi Stream 2,Wi Stream 1
Wi Stream 2,Gokjeong Stream
Wi Stream 2,Wi Stream 3
Wi Stream 3,Ssanggye Stream
Wi Stream 3,Wi Stream 4
Wi Stream 4,Wi Stream 5
Banbyeon Stream 2,Yongjeon Stream 3
Banbyeon Stream 1,Banbyeon Stream 2
Yongjeon Stream 3,Yongjeon Stream 2
Yongjeon Stream 2,Yongjeon Stream 1
Yongjeon Stream 2,Gilan Stream 2
Yongjeon Stream 3,Gilan Stream 2
Yonggye Stream,Gilan Stream 2
Byeongbo Stream,Gilan Stream 1
Gilan Stream 1,Gilan Stream 2
Gilan Stream 2,Banbyeon Stream 4
Banbyeon Stream 4,Banbyeon Stream 3
Deokgok,Daeamri
Daeamri,Cha Stream
Cha Stream,Hyeonpung
Hyeonpung,Nongong
Nongong,Goryeong
Goryeong,Hwawon Naru
Daegok Stream 1,Daegok Stream 2
Daegok Stream 2,Mangseong
Daegok Stream 2,Daeam
Daeam,Jakdong Bridge
Jakdong Bridge,Hajam Bridge
Daeam,Mangseong
Hajam Bridge,Bansong
Bansong,Sinhwa
Sinhwa,Boeun Stream
Bansong,Jiheon
Jiheon,Deokhyeon
Mangseong,Guyeong
Guyeong,Samho
Samho,Taehwa
Taehwa,Naehwang
Naehwang,Myeongchon
Naehwang,Hakseong
Naehwang,Dong Stream
Dong Stream,Sindap
Sindap,Jeil A
Geochangdong Stream 1,Geochangdong Stream 2
Geochangdong Stream 2,Geochangwi Stream 2
Geochangdong Stream 2,Hwang River 1
Geochangwi Stream 1,Hwang River 1
Ga Stream,Hwang River 3
Hwang River 3,Hwang River 2
Hwang River 2,Hwang River 1
Hwang River 3,Sacheon Stream
Hyeongsan River 1,Hyeongsan River 2
Hyeongsan River 2,Hyeongsan River 3
Hyeongsan River 3,Hyeongsan River 4
Hyeongsan River 4,Gigye Stream
Hyeongsan River 4,Hyeongsan River 5
Hwang River 4,Hwang River 5
